Course,Topic,Unit,What to Cover,Unit Type,PPT,Code Files,Embedded links,Code File,S3 Links,Final Status,Given for Loading,Beta Status,Gamma Status,Review / Updation,Prod Status,Unit Link,s-id,t-id
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution part 2,"Kernel design principles, correlation vs convolution",Session,Foundations of Filtering & Convolution part 2,,https://docs.google.com/presentation/d/e/2PACX-1vQu-qRIuPDdDwIIoy4QZ7E8H8eo5O-pj6BDECQy7S0pIndN5_SQwyuTXwyoK_ea4cjhJEtBaKSgiLy2/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-04-2026-foundationsofFilteringAndConvolutionPart2-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=5bfebb4f-477e-4323-95dd-e047c7eca952&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,5bfebb4f-477e-4323-95dd-e047c7eca952,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution part 2,,Tutorial,Part 2 - Foundations of Filtering & Convolution - TR - Doc Part 2 - Foundations of Filtering & Convolution MCQ-Part 2 Foundations of Filtering & Convolution.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=a75381c8-2a21-47b8-abc4-f4d09f8f2855&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,a75381c8-2a21-47b8-abc4-f4d09f8f2855,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Foundations of Filtering & Convolution part 2,,MCQ Practice,MCQ - Part 2 - Foundations of Filtering & Convolution MCQs_Practice-3.zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=9219d3dc-88f3-4108-8737-3cf391fd54f8&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,9219d3dc-88f3-4108-8737-3cf391fd54f8,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Common Filters & Efficiency,"Common filters: Box, Gaussian, Sharpening, Edge Detection, Separable filters",Session,Common Filters & Efficiency,,https://docs.google.com/presentation/d/e/2PACX-1vT6YONsT7rCYzKP8AmXq5TvFfQlJbsEd_PXPcyJht8COAuBu4nFHVn5VFQX-VEajd3kChvjIIHexyNo/pubembed?start=false&loop=false&delayms=3000,,---,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=2b165890-7553-4b33-9950-f6d088a876d6&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,2b165890-7553-4b33-9950-f6d088a876d6,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Common Filters & Efficiency,,Tutorial,MCQ-Common Filters and Efficiency.zipCommon Filters & Efficiency - TR - Doc Common Filters and Efficiency,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=0bae5bcd-48d5-425a-b051-a169891a8278&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,0bae5bcd-48d5-425a-b051-a169891a8278,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Common Filters & Efficiency,,MCQ Practice,Common Filters & Efficiency_MCQs MCQs_Practice-4 (Common Filters & Efficiency).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=c20c86c2-c81a-413c-b420-96b0c723aa7e&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,c20c86c2-c81a-413c-b420-96b0c723aa7e,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Filters in Practice,Hands on covering all filters discussed so far,Session,Filters in Practice,Filters in Practice,https://docs.google.com/presentation/d/e/2PACX-1vQL6di2Al65F18jumnA-pKBliA4I9yEOgJEy4BIrl1KbE7yahG4ptxXnn5eeV-Qh4qQIXKUKarkZuWV/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-04-2026-filtersinPractice-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=419d4cdc-df48-4b37-aea0-4267c42996cc&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,419d4cdc-df48-4b37-aea0-4267c42996cc,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Filters in Practice ,,Tutorial,Filters in Practice MCQ-Filters in Practice.zip Filters in Practice,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=657357db-ff9f-4f8e-a192-eaf734a5ab08&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,657357db-ff9f-4f8e-a192-eaf734a5ab08,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Filters in Practice ,,MCQ Practice,Filters in Practice MCQs_Practice-5 (Filters in Practice).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f06c0430-e822-4b9a-88f1-17a2f16e73c3&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,f06c0430-e822-4b9a-88f1-17a2f16e73c3,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Filters in Practice ,Coding Assignment,Coding Assignment,Code Assignment 2,,,,,Coding assignment completed,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=93289d29-7122-4278-8263-342d211eecf5&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,93289d29-7122-4278-8263-342d211eecf5,1694a86f-d984-4d0a-9ef2-b5f2106a9007
Foundations of Computer Vision with CNNs,Foundations of Computer Vision,Grand Assignment | Foundations of Computer Vision,,Exam,,,,,,,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=d97ce985-1100-4b09-8ae8-0007ee83b81b&t_id=1694a86f-d984-4d0a-9ef2-b5f2106a9007,d97ce985-1100-4b09-8ae8-0007ee83b81b,1694a86f-d984-4d0a-9ef2-b5f2106a9008
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Introduction to Neural Networks for Vision,"Why deep learning revolutionized CV
From perceptrons to multi-layer networks
Activation functions (ReLU, Sigmoid, Tanh, LeakyReLU)
Forward propagation walkthrough
Loss functions for classification (Cross-Entropy, Softmax)",Session,Introduction to Neural Networks for Vision,,https://docs.google.com/presentation/d/e/2PACX-1vQjFW5aWdYwrMBIc2KpobeZ9uUujMwVWucpqAnv8IIz-LBtGJUzBVOSvwHVDKYnA30DsGB1h5Bu7c51/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-04-2026-introductiontoNeuralNetworksForVision-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=268f43ae-f0e1-4913-9002-7a538de77828&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,268f43ae-f0e1-4913-9002-7a538de77828,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Introduction to Neural Networks for Vision,,Tutorial,Introduction to Neural Networks for Vision MCQ-Introduction to Neural Networks for Vision.zip Introduction to Neural Networks for Vision,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=b7354caa-26c7-45d9-8d39-3f52d5d067fb&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,b7354caa-26c7-45d9-8d39-3f52d5d067fb,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Introduction to Neural Networks for Vision,,MCQ Practice,MCQs_Practice-6 (Introduction to Neural Networks for Vision).zip Introduction to Neural Networks for Vision,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=7579c48a-4df6-4741-8726-0d51712277b8&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,7579c48a-4df6-4741-8726-0d51712277b8,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Convolutional Layer Deep Dive,"Why convolution for images? (local connectivity, weight sharing)
Convolutional layer anatomy
Learnable filters/kernels
Feature maps visualization
Padding types: Valid, Same
Receptive field concept
Stride and its effect on output dimensions
Output size formula: (W - F + 2P) / S + 1",Session,Convolutional Layer Deep Dive,,https://docs.google.com/presentation/d/e/2PACX-1vSoRZNrmx3fxxyjhbXrQaDBZhIONa15geg6zwchUfmTG-MQ8om2CArNAtAfsGpWMHyDW2IX1j89vmj_/pubembed?start=false&loop=false&delayms=3000,,,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=099181d6-66f4-4e46-9e58-688beab982c2&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,099181d6-66f4-4e46-9e58-688beab982c2,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Convolutional Layer Deep Dive Implementation,,Tutorial,Convolutional Layer Deep Dive Convolutional Layer Deep Dive MCQ-Convolutional Layer Deep Dive.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=35cc70bb-7587-4708-85e2-25b58f05f220&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,35cc70bb-7587-4708-85e2-25b58f05f220,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Convolutional Layer Deep Dive Implementation,,MCQ Practice,Convolutional Layer Deep Dive MCQs__Practice-7 (Convolution Layer Deep Dive).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=498a1eff-7339-46b0-8b60-d9f6fda73aff&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,498a1eff-7339-46b0-8b60-d9f6fda73aff,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Pooling & Spatial Reduction,"Purpose of pooling (translation invariance, computation reduction)
Max Pooling vs Average Pooling
Global Average Pooling (GAP)
Stride as alternative to pooling
When NOT to use pooling (dense prediction tasks)
",Session,Pooling & Spatial Reduction,,https://docs.google.com/presentation/d/e/2PACX-1vQ4_NWEW_6VxxCwvMOfYGRtRDPT33_t4KGPtWHr5ivb617LkNBk95MB8POWFlRgyVE0xxfl4eqDk7lf/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/05-05-2026-poolingAndSpatialReduction-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=66375579-80e5-4c53-b6f9-ee85cf15b436&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,66375579-80e5-4c53-b6f9-ee85cf15b436,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Pooling & Spatial Reduction,,Tutorial,Pooling & Spatial Reduction Pooling and Spatial Reduction MCQ-Pooling and Spatial Reduction.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f34cf102-6ca2-4aa9-af7b-a29618770f59&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,f34cf102-6ca2-4aa9-af7b-a29618770f59,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Pooling & Spatial Reduction,,MCQ Practice,MCQs__Practice-8 (Pooling and Spatial Reduction).zip Pooling and Spatial Reduction,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=62f4c93f-08ac-4597-b3df-64a126afb773&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,62f4c93f-08ac-4597-b3df-64a126afb773,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Preparing Data,"What CIFAR-10 is and the classification problem
Loading the dataset and defining transforms
Creating dataloaders
Exploring class distribution, sample images, and tensor shapes

",Session,Building Your First CNN: Preparing Data,Building Your First CNN: Preparing Data.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vSyyvuz_ZEqF1xLUXOaFdrnitQ6_kLx_bZ8oNC3GqQPEDUBOnIUzoIbBbOiWEDo52YVPSas5nhofLFO/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/06-05-2026-buildingYourFirstCNNPreparingData-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=3991ba72-d135-4c23-a46e-82b06bb28c3d&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,3991ba72-d135-4c23-a46e-82b06bb28c3d,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Preparing Data,,Tutorial,Building Your First CNN: Preparing Data Building Your First CNN: Preparing DataTutorial MCQ-Building 1st CNN Preparing Data.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=d1c47a67-d4bf-4a9a-8a2a-f5eb0086ed5d&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,d1c47a67-d4bf-4a9a-8a2a-f5eb0086ed5d,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Preparing Data,,MCQ Practice,Building Your First CNN: Preparing DataMCQs_Practice-9 (Building 1st CNN Preparing Data).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f34a1bb2-7158-4a95-b33a-533459014c8b&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,f34a1bb2-7158-4a95-b33a-533459014c8b,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Inside the Network,"Tracing a single image through the network
Conv → BN → ReLU → Pool at each block
Visualizing feature maps after each step
Summarizing the shape journey across layers",Session,Building Your First CNN: Inside the Network,Building Your First CNN: Inside the Network.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vRhJ9uNrSRtPWyIFfb_-KT0rOheNiq2Ztq4CFTaEazyPNbVjaoDeH9hOYIN7VlwMsmxA2lVi0SbuVQi/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/06-05-2026-buildingYourFirstCNNInsideTheNetwork-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=75b612f2-862d-47d0-9cb5-7dd909c9cef8&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,75b612f2-862d-47d0-9cb5-7dd909c9cef8,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Inside the Network,,Tutorial,Tutorial MCQ-Building CNN Inside Network.zip Building Your First CNN: Inside the Network Building Your First CNN: Inside the Network,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=90370f09-cf24-45c1-be36-c0dc34161bf5&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,90370f09-cf24-45c1-be36-c0dc34161bf5,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Inside the Network,,MCQ Practice,Building Your First CNN: Inside the network MCQs_Practice-10 (Building CNN Inside Network).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=3e614c09-f6f2-4584-b972-904f65b5cccd&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,3e614c09-f6f2-4584-b972-904f65b5cccd,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
